gene_id,L1,L2,L3,R1,R2,R3
Solyc00g048515.1|Solyc00g048515.1,9,4,22,0,0,0
MSTRG.63|Solyc00g049520.2,698,932,663,4196,4557,4908
MSTRG.64|Solyc00g050130.1,331,429,358,2936,3641,3707
Solyc00g052545.1|Solyc00g052545.1,0,0,3,0,0,4
MSTRG.65|Solyc00g050430.3,154,157,82,1367,2009,1152
MSTRG.61|Solyc00g047700.3,16393,18699,13932,35313,42691,48401
MSTRG.66|Solyc00g052940.3,417,429,397,1169,1405,1271
MSTRG.67|Solyc00g053440.3,309,387,389,1232,1474,1444
MSTRG.68|Solyc00g056680.1,75,132,47,264,309,293
MSTRG.69|Solyc00g057880.3,263,345,278,241,436,350
MSTRG.70,1286,1178,530,548,562,513
MSTRG.71|Solyc00g059100.3,159,164,74,944,964,1019
MSTRG.74,16,6,3,199,181,179
MSTRG.72|Solyc00g059500.2,146,268,101,314,350,615
Solyc00g069880.2|Solyc00g069880.2,3,0,3,2,0,0
MSTRG.75|Solyc00g068970.2,578,205,1483,947,1021,1112
MSTRG.77|Solyc00g071180.3,12,6,0,3013,4988,1870
MSTRG.76|Solyc00g072100.3,571,707,577,2081,2547,3075
MSTRG.80|Solyc00g075035.1,64,18,22,22613,37014,30295
MSTRG.81,0,0,0,687,2224,2194
Solyc00g080750.3|Solyc00g080750.3,135,76,102,38,82,70
MSTRG.82|Solyc00g082150.3,5667,6133,4620,13294,16606,17020
MSTRG.83,934,961,664,1939,2386,2474
MSTRG.85|Solyc00g085070.3,6373,6845,5353,886,1288,1241
MSTRG.99|Solyc00g102400.3,20,54,12,1666,2050,1712
MSTRG.161,54,50,54,393,422,399
MSTRG.159|Solyc00g106650.2,7,53,61,83,137,93
MSTRG.162,123,140,120,365,392,518
Solyc00g108550.1|Solyc00g108550.1,5,0,0,0,8,3
MSTRG.158|Solyc00g107055.1,1287,1501,983,6637,7580,7838
MSTRG.88|Solyc00g090110.1,0,0,0,0,0,0
MSTRG.89|Solyc00g090115.1,0,0,0,0,0,0
MSTRG.89|Solyc00g090120.2,0,0,0,0,0,0
MSTRG.90|Solyc00g090130.2,0,0,0,0,0,0
MSTRG.89|Solyc00g090630.2,0,0,0,0,0,0
Solyc00g090640.1|Solyc00g090640.1,0,0,0,0,0,0
Solyc00g090650.1|Solyc00g090650.1,0,0,0,0,0,0
Solyc00g090660.1|Solyc00g090660.1,0,0,0,0,0,0
Solyc00g090860.2|Solyc00g090860.2,0,0,0,17,3,16
Solyc00g092870.1|Solyc00g092870.1,0,0,0,0,0,0
Solyc00g092880.1|Solyc00g092880.1,0,0,0,0,0,0
Solyc00g092890.1|Solyc00g092890.1,0,0,0,0,0,0
Solyc00g092900.2|Solyc00g092900.2,0,0,0,0,0,0
Solyc00g093100.2|Solyc00g093100.2,0,0,0,0,0,0
Solyc00g094010.2|Solyc00g094010.2,0,0,0,0,0,0
Solyc00g094020.2|Solyc00g094020.2,0,0,0,0,0,0
Solyc00g094520.1|Solyc00g094520.1,0,0,4,9,3,0
Solyc00g094550.1|Solyc00g094550.1,0,0,0,3,0,0
Solyc00g095450.1|Solyc00g095450.1,0,0,0,0,0,0
Solyc00g095460.1|Solyc00g095460.1,0,0,0,0,0,0
