"","L1","L2","L3","R1","R2","R3"
"MSTRG.14|Solyc00g006867.1",44.1413359997625,24.9968003154896,6.05211134753908,10.885929932567,15.7405350389873,6.76681112417812
"MSTRG.16|Solyc00g008570.2",165.121293925037,60.2864007608866,165.424376832735,131.991900432375,137.467339340489,100.938265935657
"MSTRG.17|Solyc00g008580.1",3.269728592575,4.41120005567463,0,6.12333558706896,4.1974760103966,2.81950463507422
"MSTRG.15",6845.17680855576,2971.67843750614,4430.14550639861,4625.15948009942,5623.56848492885,4956.12524753346
"Solyc00g009030.2|Solyc00g009030.2",14.7137786665875,4.41120005567463,4.03474089835939,11.5663005533525,15.7405350389873,18.6087305914898
"Solyc00g009040.3|Solyc00g009040.3",63.7597075552125,39.7008005010717,32.2779271868751,61.913726491475,47.2216051169618,73.3071205119296
"MSTRG.19|Solyc00g009050.2",240.325051554262,233.793602950755,201.737044917969,278.271583901245,280.181523693973,279.130958872347
"MSTRG.20|Solyc00g009060.3",4018.49644027467,4224.45925331774,4637.93466266412,1877.14254274703,1761.36587086267,1760.49869414034
"MSTRG.23|Solyc00g009080.3",2468.64508739412,2384.98883010142,3114.81997353345,1679.15469209847,1774.48298339516,1895.27101569689
"MSTRG.22|Solyc00g009090.3",470.8409173308,270.553603414711,252.171306147462,3610.04651388755,3310.75920320032,3209.16017564147
"MSTRG.18|Solyc00g009020.3",39164.8090818633,39183.2196945392,38699.2173266141,41501.2471266703,41365.6013979572,44890.4610968706
"MSTRG.24|Solyc00g009100.3",22788.3734259514,26115.7747296124,27587.5408925323,1342.37123480967,1133.31852280708,1185.3197485852
"MSTRG.26|Solyc00g009141.1",949.856156143037,1066.0400134547,1533.20154137657,1788.01399142414,1597.66430645721,2059.36618545821
"MSTRG.25",243.594780146837,111.750401410424,538.637909930978,157.845984022222,213.546592028927,223.304767097878
"MSTRG.27",102.996450666112,36.7600004639552,300.588196927775,95.2518869099616,104.936900259915,153.944953075052
"MSTRG.28",78.4734862217999,58.8160007423284,104.903263357344,104.096704980172,0,148.869844731919
"MSTRG.48|Solyc00g009110.3",15132.3039264371,13614.4337718305,14527.084604543,16032.9336788089,14446.6630587825,13904.669058332
"MSTRG.48|Solyc00g009120.3",256.673694517137,1380.70561742616,2432.94876171071,1410.40829688822,3099.83603367789,2670.07088941528
"MSTRG.48|Solyc00g009140.3",5179.2500906388,4609.70405817999,3915.71604185779,588.520586979406,850.513576606612,404.316964669643
"Solyc00g011160.2|Solyc00g011160.2",0,30.8784003897224,86.7469293147269,0,44.0734981091643,50.7510834313359
"MSTRG.29|Solyc06g024330.2",0,0,0,0,0,0
"MSTRG.30|Solyc00g010520.1",0,0,0,0,0,0
